source,target,type
0,69,1
0,27,1
0,97,1
0,24,1
1,172,1
2,169,1
2,72,1
2,26,1
3,190,1
3,152,1
3,109,1
3,74,1
3,119,1
4,3,1
4,57,1
4,22,1
4,37,1
4,20,1
5,155,1
5,199,1
6,10,1
6,5,1
7,4,1
7,183,1
7,60,1
7,191,1
7,6,1
7,2,1
8,75,1
8,82,1
8,141,1
8,50,1
9,156,1
9,25,1
9,1,1
9,127,1
9,172,1
9,199,1
10,25,1
10,169,1
10,165,1
11,109,1
11,16,1
11,44,1
11,88,1
11,42,1
11,1,1
12,70,1
12,172,1
12,137,1
12,23,1
12,96,1
12,18,1
13,2,1
13,18,1
13,5,1
13,6,1
13,136,1
14,75,1
14,23,1
14,2,1
14,147,1
14,51,1
14,6,1
15,82,1
15,52,1
15,6,1
15,180,1
16,42,1
16,89,1
16,69,1
17,99,1
17,162,1
17,189,1
17,183,1
17,134,1
17,16,1
17,6,1
17,30,1
17,196,1
17,4,1
18,75,1
18,50,1
18,42,1
18,40,1
19,50,1
19,54,1
19,156,1
19,174,1
20,45,1
20,54,1
20,6,1
20,155,1
20,82,1
20,27,1
20,41,1
20,48,1
20,67,1
21,20,1
21,4,1
21,62,1
21,67,1
21,117,1
22,19,1
22,26,1
22,142,1
22,1,1
23,123,1
23,82,1
23,183,1
23,62,1
24,123,1
24,41,1
25,1,1
25,160,1
25,49,1
25,63,1
26,181,1
26,155,1
26,133,1
27,16,1
27,122,1
27,134,1
27,32,1
27,49,1
27,83,1
28,150,1
28,194,1
28,11,1
28,27,1
29,52,1
30,138,1
30,112,1
30,90,1
30,19,1
31,51,1
31,184,1
31,22,1
31,1,1
31,139,1
31,196,1
31,19,1
31,74,1
32,54,1
32,19,1
32,61,1
32,97,1
32,116,1
33,179,1
33,136,1
33,129,1
34,18,1
34,156,1
34,39,1
34,1,1
34,155,1
34,154,1
34,56,1
34,130,1
35,46,1
35,86,1
35,129,1
35,68,1
35,16,1
36,1,1
36,43,1
36,127,1
36,22,1
36,26,1
36,196,1
37,47,1
37,35,1
37,137,1
37,196,1
37,1,1
